City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,narrabri,-30.3167,149.7833,312.88,35,91,1.79,AU,1707018180
386,holualoa,19.6228,-155.9522,295.8,82,100,3.09,US,1707018022
387,papao,-17.75,-149.55,301.97,76,99,3.73,PF,1707018181
388,san luis de la loma,17.2706,-100.8939,295.62,79,0,3.86,MX,1707018182
389,akrehamn,59.2667,5.1833,279.49,81,100,14.92,NO,1707018182
390,saint-pierre,-21.3393,55.4781,297.97,61,0,2.06,RE,1707018184
391,slobozia,46.7281,29.7078,279.8,69,98,6.22,MD,1707018184
392,constantia,44.1833,28.65,277.53,81,100,6.55,RO,1707018185
393,kodinsk,58.6881,99.1844,257.71,94,100,0.94,RU,1707018185
394,marka,1.7159,44.7717,299.86,80,30,6.73,SO,1707018186
395,greymouth,-42.4667,171.2,289.93,63,81,2.86,NZ,1707018187
396,chernyshevskiy,63.0128,112.4714,246.39,95,67,1.48,RU,1707018187
397,huarmey,-10.0681,-78.1522,296.99,87,100,2.69,PE,1707018188
398,cockburn town,21.4612,-71.1419,296.49,63,0,2.54,TC,1707018189
399,yuzhno-kurilsk,44.0306,145.8556,268.91,71,95,8.21,RU,1707018189
400,nantucket,41.2835,-70.0995,274.27,51,20,7.72,US,1707018190
401,heze,35.2431,115.4411,273.18,40,100,3.58,CN,1707018191
402,portage,41.1667,-81.1998,273.05,88,0,2.06,US,1707018191
403,magadan,59.5667,150.8,256.37,75,93,3.72,RU,1707018192
404,shingu,33.7333,135.9833,283.34,84,100,0.64,JP,1707018192
405,byerazino,53.8391,28.9879,274.59,79,96,7.28,BY,1707018193
406,palu,-0.8917,119.8707,301.89,82,99,1.67,ID,1707018194
407,biloela,-24.4167,150.5,308.38,33,77,3.85,AU,1707018195
408,nyagan,62.1406,65.3936,250.04,100,100,1.81,RU,1707018195
409,balangir,20.7167,83.4833,297.93,36,0,0.64,IN,1707018196
410,ski,59.7195,10.8358,275.02,92,80,1.33,NO,1707018197
411,westport,41.1415,-73.3579,275.68,60,40,2.57,US,1707017951
412,onguday,50.75,86.15,259.94,77,68,1.71,RU,1707018198
413,novyy urgal,51.0736,132.5642,250.68,84,91,0.56,RU,1707018199
414,opuwo,-18.0607,13.84,293.25,89,100,1.32,NA,1707018199
415,ocher,57.8904,54.7202,261.74,98,100,1.19,RU,1707018200
416,ljusdal,61.8288,16.0913,271.9,66,95,9.05,SE,1707018200
417,south hedland,-20.4089,118.5983,305.11,66,40,10.29,AU,1707018201
418,port augusta,-32.5,137.7667,315.05,10,48,7.0,AU,1707018202
419,tannum sands,-23.9504,151.3693,305.09,55,40,5.66,AU,1707018202
420,saint-francois,46.4154,3.9054,276.86,100,100,1.54,FR,1707018203
421,tromso,69.6496,18.957,270.16,86,75,2.06,NO,1707018203
422,cannonvale,-20.2833,148.7,302.81,60,61,3.95,AU,1707018204
423,vurnary,55.4904,46.9648,262.0,96,100,3.98,RU,1707018205
424,tangalle,6.024,80.7911,299.24,66,69,3.01,LK,1707018205
425,danilov,58.1908,40.1717,266.38,95,100,4.78,RU,1707018206
426,deori,21.45,82.6167,298.34,25,0,0.28,IN,1707018206
427,trindade,-16.6494,-49.4889,294.01,93,100,1.83,BR,1707018207
428,williamson,30.6502,-97.6003,288.27,54,0,2.06,US,1707018208
429,moscow,55.7522,37.6156,273.5,98,100,6.79,RU,1707017931
430,mashhad,36.297,59.6062,268.23,93,0,0.0,IR,1707018209
431,trairi,-3.2778,-39.2689,299.69,84,74,4.26,BR,1707018210
432,new norfolk,-42.7826,147.0587,288.87,56,100,0.97,AU,1707018210
433,arraial do cabo,-22.9661,-42.0278,297.98,93,100,6.47,BR,1707017985
434,mkushi,-13.6202,29.3939,290.13,96,100,1.45,ZM,1707018211
435,wajir,1.7471,40.0573,299.13,78,20,4.12,KE,1707018212
436,manicore,-5.8092,-61.3003,297.12,98,100,0.92,BR,1707018213
437,merowe,18.4833,31.8167,285.89,31,6,5.45,SD,1707018213
438,childress,34.4264,-100.204,286.29,47,20,0.0,US,1707018214
439,nelson bay,-32.7167,152.15,306.18,74,84,9.76,AU,1707018214
440,mirnyy,62.5353,113.9611,250.63,92,84,2.08,RU,1707018215
441,pacific grove,36.6177,-121.9166,282.96,88,100,2.24,US,1707018216
442,touros,-5.1989,-35.4608,300.11,76,38,5.99,BR,1707018216
443,nova sintra,14.8667,-24.7167,294.7,68,100,3.84,CV,1707018217
444,coahuayana de hidalgo,18.7,-103.6583,293.35,82,0,1.1,MX,1707018218
445,broome,42.2506,-75.833,272.38,85,100,2.57,US,1707018218
446,glendive,47.1053,-104.7125,278.01,100,100,4.12,US,1707018219
